pdb_name,processed_path,quaternary_category,num_chains,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,cluster
length_202_id_17,./train_set/processed_synthetic/length_202_id_17.pkl,homomer,1,202,202,0.3465346534653465,0.1683168316831683,0.4851485148514851,1.837525372454317,1446
length_86_id_16,./train_set/processed_synthetic/length_86_id_16.pkl,homomer,1,86,86,0.3255813953488372,0.1744186046511628,0.5,1.251475073939648,3795
length_85_id_24,./train_set/processed_synthetic/length_85_id_24.pkl,homomer,1,85,85,0.2235294117647059,0.7764705882352941,0.0,1.1945521332410165,3923
length_277_id_22,./train_set/processed_synthetic/length_277_id_22.pkl,homomer,1,277,277,0.223826714801444,0.631768953068592,0.1444043321299639,1.966908551736177,2555
length_238_id_21,./train_set/processed_synthetic/length_238_id_21.pkl,homomer,1,238,238,0.2184873949579832,0.6512605042016807,0.1302521008403361,1.7830501878454772,1750
length_73_id_21,./train_set/processed_synthetic/length_73_id_21.pkl,homomer,1,73,73,0.1643835616438356,0.8356164383561644,0.0,1.203392677427039,3550
length_221_id_18,./train_set/processed_synthetic/length_221_id_18.pkl,homomer,1,221,221,0.1402714932126696,0.8597285067873304,0.0,1.864571673865829,1735
length_282_id_15,./train_set/processed_synthetic/length_282_id_15.pkl,homomer,1,282,282,0.3191489361702128,0.375886524822695,0.3049645390070922,1.8461079274819283,2604
length_326_id_4,./train_set/processed_synthetic/length_326_id_4.pkl,homomer,1,326,326,0.294478527607362,0.549079754601227,0.156441717791411,1.8732142432351448,2352
length_70_id_13,./train_set/processed_synthetic/length_70_id_13.pkl,homomer,1,70,70,0.2571428571428571,0.4857142857142857,0.2571428571428571,1.2637577071281132,3543
length_342_id_9,./train_set/processed_synthetic/length_342_id_9.pkl,homomer,1,342,342,0.1432748538011695,0.8567251461988304,0.0,2.0614694689940083,3232
length_304_id_8,./train_set/processed_synthetic/length_304_id_8.pkl,homomer,1,304,304,0.2467105263157894,0.5855263157894737,0.1677631578947368,1.8577147617317649,2873
length_138_id_19,./train_set/processed_synthetic/length_138_id_19.pkl,homomer,1,138,138,0.2753623188405797,0.7246376811594203,0.0,1.5154874384803934,515
length_163_id_0,./train_set/processed_synthetic/length_163_id_0.pkl,homomer,1,163,163,0.2883435582822086,0.4785276073619632,0.2331288343558282,1.5734896825484612,895
length_77_id_4,./train_set/processed_synthetic/length_77_id_4.pkl,homomer,1,77,77,0.1688311688311688,0.8311688311688312,0.0,1.2292011660562452,3664
length_239_id_7,./train_set/processed_synthetic/length_239_id_7.pkl,homomer,1,239,239,0.309623430962343,0.3179916317991632,0.3723849372384937,1.777849779542708,2008
length_125_id_1,./train_set/processed_synthetic/length_125_id_1.pkl,homomer,1,125,125,0.24,0.552,0.208,1.4422491251805736,328
length_154_id_15,./train_set/processed_synthetic/length_154_id_15.pkl,homomer,1,154,154,0.1948051948051948,0.5324675324675324,0.2727272727272727,1.510382360570989,763
